location,no2
Deurnsebaan Zuid,41.8
Deurnsebaan Noord,40.2
Van de Perre Zuid,33.1
Van de Perre Noord,34.0
Turnhoutsebaan BO West,36.4
Turnhoutsebaan BO Oost,34.5
Turnhoutsebaan DE West,35.8
Turnhoutsebaan DE Oost,33.7
Provinciestraat Zuid,33.1
Provinciestraat Noord,33.1
Pothoekstraat Zuid,34.7
Pothoekstraat Noord,40.5
Borsbeekstraat Zuid,31.3
Borsbeekstraat Noord,32.3
Klappeistraat,23.6
Gijselstraat,29.4
Sint-Bernardsesteenweg,33.4
Abdijstraat,32.3
Nationalestraat Zuid,34.1
Nationalestraat Noord,31.1
Cassiersstraat West,40.1
Cassiersstraat Oost,32.3
VMM Groenenborger,20.8
VMM BelgiÃ«lei,28.8
Van Maerlant,40.2
Kennedy_mid,32.9
Kennedy_lift,25.8
